,sakarya,malatya,bursa,konya ,diyarbakir ,kocaeli,istanbul ,erzurum ,maras,tekirdag ,denizli 
2019-08-08,15,9,61,14,8,18,178,15,11,3,13
2019-08-09,17,9,41,21,,27,178,13,18,1,18
2019-08-10,23,12,31,9,,29,189,8,18,8,26
2019-08-11,12,9,32,13,18,23,181,10,13,0,16
2019-08-12,19,9,48,10,14,21,178,10,16,2,16
2019-08-13,17,18,48,17,14,16,184,14,22,2,21
2019-08-14,23,10,37,10,12,33,182,17,11,3,25
2019-08-15,14,14,45,16,25,15,190,22,15,9,25
2019-08-16,19,17,47,11,24,20,168,18,17,5,15
2019-08-17,21,10,50,11,12,16,197,13,21,5,28
2019-08-18,15,8,41,10,,19,180,14,13,4,18
2019-08-19,12,7,31,15,,31,183,15,21,6,20
2019-08-20,24,4,55,15,15,25,178,23,7,5,11
2019-08-21,17,5,30,12,,16,198,18,19,2,17
2019-08-22,27,8,39,9,,27,180,17,12,1,24
2019-08-23,20,6,45,12,,24,164,14,15,4,16
2019-08-24,14,7,35,11,,19,169,15,12,3,16
2019-08-25,13,8,29,12,,21,215,8,9,3,13
2019-08-26,14,7,38,16,,28,179,17,14,4,27
2019-08-27,20,12,37,19,,32,197,12,14,7,21
2019-08-28,17,7,39,16,,23,172,8,13,4,22
2019-08-29,12,10,35,13,,20,219,23,14,6,18
2019-08-30,29,11,35,13,,28,178,5,9,1,9
2019-08-31,15,7,36,12,,26,203,7,11,3,20
